case_id,expected_mode,clean,observed_mode,severity,exact_mode_match,note,error
overconfidence_1,overconfidence,False,insufficient_premium,0.6,False,Injected defect: unsupported certainty in the model reasoning.,
overconfidence_2,overconfidence,False,insufficient_premium,0.6,False,Injected defect: unsupported certainty in the model reasoning.,
overconfidence_3,overconfidence,False,insufficient_premium,0.5,False,Injected defect: unsupported certainty in the model reasoning.,
recency_bias_1,recency_bias,False,insufficient_premium,0.6,False,Injected defect: recent observations are treated as predictive.,
recency_bias_2,recency_bias,False,recency_bias,0.6,True,Injected defect: recent observations are treated as predictive.,
recency_bias_3,recency_bias,False,insufficient_premium,0.6,False,Injected defect: recent observations are treated as predictive.,
insufficient_premium_1,insufficient_premium,False,insufficient_premium,0.7,True,Injected defect: only $12/contract despite stronger nearby alternatives.,
insufficient_premium_2,insufficient_premium,False,insufficient_premium,0.6,True,Injected defect: only $16/contract despite stronger nearby alternatives.,
insufficient_premium_3,insufficient_premium,False,insufficient_premium,0.6,True,Injected defect: only $20/contract despite stronger nearby alternatives.,
poor_liquidity_1,poor_liquidity,False,poor_liquidity,0.75,True,"Injected defect: OI=12, spread=40% while alternatives are liquid.",
poor_liquidity_2,poor_liquidity,False,poor_liquidity,0.75,True,"Injected defect: OI=22, spread=30% while alternatives are liquid.",
poor_liquidity_3,poor_liquidity,False,poor_liquidity,0.65,True,"Injected defect: OI=35, spread=22% while alternatives are liquid.",
concentration_1,concentration,False,position_conflict,0.6,False,Injected defect: 1 existing short XLE contracts before adding more.,
concentration_2,concentration,False,position_conflict,0.75,False,Injected defect: 2 existing short XLE contracts before adding more.,
concentration_3,concentration,False,position_conflict,0.75,False,Injected defect: 3 existing short XLE contracts before adding more.,
assignment_risk_1,assignment_risk,False,assignment_risk,0.65,True,Injected defect: strike is -0.35 versus spot with 7 DTE.,
assignment_risk_2,assignment_risk,False,assignment_risk,0.75,True,Injected defect: strike is +0.00 versus spot with 7 DTE.,
assignment_risk_3,assignment_risk,False,assignment_risk,0.75,True,Injected defect: strike is +0.20 versus spot with 7 DTE.,
unfavourable_expiry_1,unfavourable_expiry,False,unfavourable_expiry,0.8,True,Injected defect: 1 DTE while comparable 7-DTE alternatives exist.,
unfavourable_expiry_2,unfavourable_expiry,False,unfavourable_expiry,0.75,True,Injected defect: 2 DTE while comparable 7-DTE alternatives exist.,
unfavourable_expiry_3,unfavourable_expiry,False,insufficient_premium,0.6,False,Injected defect: 3 DTE while comparable 7-DTE alternatives exist.,
position_conflict_1,position_conflict,False,insufficient_premium,0.6,False,Injected defect: same short-put position is already open (1 contracts).,
position_conflict_2,position_conflict,False,concentration,0.65,False,Injected defect: same short-put position is already open (2 contracts).,
position_conflict_3,position_conflict,False,concentration,0.7,False,Injected defect: same short-put position is already open (3 contracts).,
clean_1,clean,True,insufficient_premium,0.4,,"Clean control: healthy liquidity, reasonable premium, normal expiry, comfortable moneyness, modest size, and no deliberate defect.",
clean_2,clean,True,unfavourable_expiry,0.5,,"Clean control: healthy liquidity, reasonable premium, normal expiry, comfortable moneyness, modest size, and no deliberate defect.",
clean_3,clean,True,insufficient_premium,0.5,,"Clean control: healthy liquidity, reasonable premium, normal expiry, comfortable moneyness, modest size, and no deliberate defect.",
clean_4,clean,True,insufficient_premium,0.4,,"Clean control: healthy liquidity, reasonable premium, normal expiry, comfortable moneyness, modest size, and no deliberate defect.",
clean_5,clean,True,insufficient_premium,0.6,,"Clean control: healthy liquidity, reasonable premium, normal expiry, comfortable moneyness, modest size, and no deliberate defect.",
clean_6,clean,True,insufficient_premium,0.3,,"Clean control: healthy liquidity, reasonable premium, normal expiry, comfortable moneyness, modest size, and no deliberate defect.",
